video,release_id,dvids_stated_report_id,content_report_id,pass_label,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,track_candidate_rank,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,contrast_delta,step_from_previous_supported_px,distance_from_expected_px,distance_from_reticle_px,overlay_relation,nearest_colored_overlay_px,detection_threshold,caveat,annotated_frame_path,zoom_patch_path
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,10,10.0,300,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,20,1,1077.1,482.8,1068.0,473.0,18,19,171,0.5,160,119,141.49,101.0,59.0,149.746,110.64,130.28,separate from colored overlay,319.38,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0010_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,11,11.0,330,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,6,1,762.5,505.1,753.0,495.0,20,21,256,0.61,236,109,185.63,114.0,122.0,315.371,215.65,200.58,separate from colored overlay,151.15,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0011_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,12,12.0,360,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,2,1,980.5,598.5,980.0,598.0,2,2,4,1.0,194,143,168.75,144.0,50.0,237.196,143.63,61.99,near colored overlay,21.22,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0012_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,13,13.0,390,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,20,1,977.4,676.0,975.0,671.0,5,11,42,0.764,250,166,213.93,143.0,107.0,77.608,221.05,137.16,separate from colored overlay,91.76,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0013_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,14,14.0,420,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,20,1,889.5,543.9,887.0,539.0,5,11,41,0.745,253,190,229.24,174.0,79.0,158.766,126.16,70.64,near colored overlay,23.55,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0014_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,15,15.0,450,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,20,1,966.5,469.0,964.0,465.0,5,9,33,0.733,251,199,233.09,161.0,90.0,107.42,20.35,71.3,near colored overlay,25.04,23.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0015_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,16,16.0,480,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,7,1,1059.4,510.5,1052.0,502.0,15,18,176,0.652,255,176,230.9,181.0,74.0,101.823,94.09,103.72,separate from colored overlay,56.51,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0016_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,17,17.0,510,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,6,1,1118.9,622.8,1117.0,616.0,6,14,59,0.702,253,181,219.19,183.0,70.0,127.019,214.2,179.16,separate from colored overlay,134.63,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0017_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,18,18.0,540,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,10,2,1092.2,645.5,1089.0,640.0,6,12,50,0.694,255,210,241.3,182.0,73.0,35.033,217.14,169.14,separate from colored overlay,130.47,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0018_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,19,19.0,570,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,8,1,982.0,561.1,979.0,556.0,6,11,50,0.758,251,193,236.88,178.0,73.0,138.803,106.4,30.48,near colored overlay,15.02,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0019_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,20,20.0,600,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,7,1,890.4,448.5,887.0,443.0,6,12,44,0.611,255,206,239.73,178.0,77.0,145.173,102.34,114.98,separate from colored overlay,82.65,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0020_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,21,21.0,630,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,11,1,885.5,459.0,884.0,454.0,5,11,40,0.727,250,164,210.78,180.0,70.0,11.57,109.37,110.1,separate from colored overlay,81.45,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0021_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,22,22.0,660,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,6,1,841.4,535.1,838.0,528.0,6,14,52,0.619,255,203,239.19,180.0,75.0,87.982,175.04,118.74,separate from colored overlay,72.64,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0022_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,23,23.0,690,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,10,1,815.1,554.1,812.0,547.0,6,14,60,0.714,255,194,237.25,175.0,80.0,32.445,209.16,145.62,separate from colored overlay,99.35,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0023_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,24,24.0,720,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,12,1,819.5,565.5,817.0,561.0,5,10,37,0.74,253,197,229.97,159.0,94.0,12.249,212.95,142.82,separate from colored overlay,96.19,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0024_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,25,25.0,750,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,17,1,837.6,645.5,835.0,640.0,5,12,40,0.667,251,180,228.62,157.0,94.0,81.997,252.74,161.55,separate from colored overlay,126.21,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0025_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,26,26.0,780,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,medium,11,3,862.6,662.4,860.0,656.0,5,13,45,0.692,253,202,239.2,178.0,75.0,30.129,252.18,156.46,separate from colored overlay,122.88,20.0,"usable but weak, cloud-confounded, or overlay-adjacent SWIR candidate",research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0026_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,27,27.0,810,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,6,1,890.5,592.1,888.0,587.0,5,11,41,0.745,255,211,240.1,182.0,73.0,75.629,180.77,86.9,separate from colored overlay,53.13,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0027_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,28,28.0,840,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,5,1,924.8,494.1,923.0,490.0,4,9,29,0.806,252,218,240.07,180.0,72.0,103.889,94.19,57.87,near colored overlay,33.26,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0028_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,29,29.0,870,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,3,1,969.2,458.3,962.0,449.0,15,23,192,0.557,254,172,226.43,174.0,80.0,57.069,43.64,82.25,separate from colored overlay,37.97,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0029_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,30,30.0,900,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,3,1,1011.0,454.3,1008.0,449.0,6,12,54,0.75,254,208,237.26,174.0,80.0,41.974,4.05,99.76,separate from colored overlay,62.04,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0030_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,31,31.0,930,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,7,1,1063.8,466.1,1057.0,458.0,15,18,178,0.659,255,174,227.75,175.0,80.0,54.112,52.16,127.47,separate from colored overlay,88.57,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0031_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,32,32.0,960,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,10,1,1115.8,467.0,1114.0,459.0,6,16,62,0.646,252,173,211.79,174.0,78.0,51.935,106.91,172.03,separate from colored overlay,114.75,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0032_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,33,33.0,990,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,5,1,1118.6,469.8,1111.0,462.0,16,18,182,0.632,255,189,232.87,188.0,67.0,3.978,112.84,173.42,separate from colored overlay,114.34,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0033_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,34,34.0,1020,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,9,1,1096.3,472.7,1094.0,466.0,7,14,70,0.714,252,171,211.81,168.0,84.0,22.478,93.79,151.99,separate from colored overlay,106.65,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0034_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,35,35.0,1050,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,9,1,1067.3,486.9,1060.0,479.0,16,17,180,0.662,255,171,229.02,175.0,80.0,32.271,67.73,119.72,separate from colored overlay,76.22,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0035_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,36,36.0,1080,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,5,1,1075.0,505.6,1068.0,498.0,15,17,172,0.675,255,178,230.3,180.0,75.0,20.219,79.83,120.0,separate from colored overlay,71.81,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0036_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0036_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,37,37.0,1110,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,1,1,1092.7,513.5,1085.0,505.0,16,18,195,0.677,255,171,228.78,175.0,80.0,19.364,100.61,135.28,separate from colored overlay,86.13,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0037_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,38,38.0,1140,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,2,1,1095.3,513.3,1087.0,505.0,17,18,214,0.699,255,166,224.31,168.0,87.0,2.675,105.49,137.93,separate from colored overlay,89.01,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0038_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0038_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,39,39.0,1170,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,1,1,1068.6,503.5,1061.0,496.0,16,17,189,0.695,255,172,226.86,172.0,83.0,28.445,81.5,114.61,separate from colored overlay,66.98,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0039_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0039_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,40,40.0,1200,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,1,1,1032.3,503.4,1025.0,496.0,15,16,185,0.771,255,170,226.59,172.0,83.0,36.365,49.33,81.0,separate from colored overlay,38.42,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0040_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0040_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,41,41.0,1230,full-screen SWIR track,DVIDS 00:10 full-screen SWIR feed; area of contrast generally remains in center field,high,1,1,1054.3,516.0,1047.0,508.0,15,18,187,0.693,255,176,227.93,173.0,82.0,25.376,73.31,97.33,separate from colored overlay,49.54,20.0,compact SWIR bright-return candidate aligned with PR28/D25 phase description,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0041_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0041_patch.jpg
