video,release_id,report_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,track_candidate_rank,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,polarity,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,bright_delta,dark_delta,contrast_delta,step_from_previous_supported_px,distance_from_expected_px,distance_from_reticle_px,overlay_relation,nearest_colored_overlay_px,caveat,annotated_frame_path,zoom_patch_path
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,10,126.0,3780,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,low,20,1,288.9,425.8,276.0,416.0,26,21,294,0.538,bright,225,124,185.26,125.0,100.0,1.0,100.0,,680.71,680.71,separate from colored overlay,235.0,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0010_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,11,127.0,3810,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,low,20,1,189.9,357.9,180.0,347.0,22,22,265,0.548,bright,223,125,179.83,112.0,111.0,-13.0,111.0,,791.32,791.32,separate from colored overlay,298.64,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0011_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,12,128.0,3840,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,low,20,1,358.3,253.6,354.0,249.0,12,10,79,0.658,bright,221,135,179.75,126.0,95.0,-9.0,95.0,,666.41,666.41,separate from colored overlay,120.61,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0012_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,13,129.0,3870,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,low,18,1,338.8,102.1,331.0,93.0,18,18,165,0.509,bright,174,86,133.34,87.0,87.0,1.0,87.0,,760.01,760.01,separate from colored overlay,216.54,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0013_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,14,130.0,3900,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,high,19,1,935.5,597.5,934.0,597.0,4,2,8,1.0,dark,26,4,14.88,112.0,-86.0,108.0,108.0,,62.5,62.5,near colored overlay,27.32,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0014_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,15,131.0,3930,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,high,19,1,947.0,597.5,945.0,597.0,5,2,10,1.0,dark,25,2,13.5,112.0,-87.0,110.0,110.0,11.5,58.95,58.95,near colored overlay,18.2,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0015_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,16,132.0,3960,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,high,16,1,1002.5,597.5,1000.0,597.0,6,2,12,1.0,dark,26,3,14.67,115.0,-89.0,112.0,112.0,55.5,71.5,71.5,separate from colored overlay,39.15,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0016_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,17,133.0,3990,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,low,13,3,987.6,250.7,985.0,249.0,6,4,17,0.708,bright,118,94,109.82,97.0,21.0,3.0,21.0,347.112,290.61,290.61,near colored overlay,19.36,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0017_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,18,134.0,4020,field-of-view narrows,DVIDS 02:14 sensor field-of-view narrows to zoom,high,1,1,957.0,596.5,954.0,596.0,7,2,14,1.0,bright,74,17,45.5,21.0,53.0,4.0,53.0,45.511,56.58,56.58,near colored overlay,11.88,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0018_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,19,135.0,4050,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,16,1,872.7,492.6,870.0,490.0,7,6,32,0.762,bright,252,168,201.38,167.0,85.0,-1.0,85.0,133.83,99.38,99.38,separate from colored overlay,58.51,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0019_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,20,136.0,4080,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,20,1,795.3,494.9,792.0,493.0,8,5,34,0.85,bright,243,156,189.56,156.0,87.0,0.0,87.0,77.366,170.75,170.75,separate from colored overlay,123.72,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0020_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,21,137.0,4110,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,19,1,865.8,499.3,863.0,497.0,7,6,35,0.833,bright,249,161,200.06,167.0,82.0,6.0,82.0,70.646,102.58,102.58,separate from colored overlay,58.97,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0021_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,22,138.0,4140,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,19,1,931.5,610.5,931.0,605.0,2,12,24,1.0,dark,101,20,59.17,172.0,-71.0,152.0,152.0,129.132,76.04,76.04,separate from colored overlay,38.19,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0022_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,23,139.0,4170,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,5,1,935.6,620.8,931.0,600.0,21,32,99,0.147,dark,173,18,97.06,172.0,1.0,154.0,154.0,11.068,84.41,84.41,separate from colored overlay,43.96,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0023_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,24,140.0,4200,generally centered track,DVIDS 02:15-03:26 area remains generally centered,medium,8,2,953.8,539.9,949.0,536.0,13,10,60,0.462,bright,234,167,189.82,172.0,62.0,5.0,62.0,82.979,6.2,6.2,intersects colored overlay,4.8,"usable but weak, reacquisition-phase, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0024_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,25,141.0,4230,generally centered track,DVIDS 02:15-03:26 area remains generally centered,medium,11,1,696.4,575.4,690.0,570.0,15,12,133,0.739,bright,252,161,201.17,161.0,91.0,0.0,91.0,259.854,265.98,265.98,separate from colored overlay,218.34,"usable but weak, reacquisition-phase, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0025_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,26,142.0,4260,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,13,1,846.3,556.8,843.0,554.0,7,6,32,0.762,bright,248,154,197.38,166.0,82.0,12.0,82.0,151.079,114.91,114.91,separate from colored overlay,67.55,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0026_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,27,143.0,4290,generally centered track,DVIDS 02:15-03:26 area remains generally centered,medium,17,2,788.9,772.1,788.0,771.0,3,3,8,0.889,bright,174,133,153.5,138.0,36.0,5.0,36.0,222.902,288.38,288.38,separate from colored overlay,255.21,"usable but weak, reacquisition-phase, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0027_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,28,144.0,4320,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,18,1,957.1,530.9,954.0,529.0,7,5,26,0.743,bright,246,163,203.27,172.0,74.0,9.0,74.0,294.058,9.54,9.54,near colored overlay,8.64,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0028_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,29,145.0,4350,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,20,1,956.2,525.8,952.0,524.0,10,5,35,0.7,bright,233,169,198.49,172.0,61.0,3.0,61.0,5.221,14.72,14.72,near colored overlay,5.09,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0029_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,30,146.0,4380,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,16,1,938.8,628.8,931.0,621.0,21,11,55,0.238,dark,171,16,124.36,167.0,4.0,151.0,151.0,104.489,91.29,91.29,separate from colored overlay,49.65,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0030_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,31,147.0,4410,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,16,1,941.8,630.4,932.0,629.0,21,3,43,0.683,dark,170,31,148.98,166.0,4.0,135.0,135.0,3.385,92.23,92.23,separate from colored overlay,50.11,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0031_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,32,148.0,4440,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,20,1,762.5,528.1,759.0,526.0,9,6,42,0.778,bright,245,147,189.02,151.0,94.0,4.0,94.0,206.432,197.88,197.88,separate from colored overlay,149.73,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0032_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,33,149.0,4470,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,20,1,735.3,532.2,732.0,530.0,8,6,35,0.729,bright,241,144,185.43,146.0,95.0,2.0,95.0,27.463,224.82,224.82,separate from colored overlay,176.73,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0033_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,34,150.0,4500,generally centered track,DVIDS 02:15-03:26 area remains generally centered,medium,17,1,687.6,542.1,685.0,540.0,7,6,34,0.81,bright,246,135,181.53,137.0,109.0,2.0,109.0,48.746,272.42,272.42,separate from colored overlay,224.41,"usable but weak, reacquisition-phase, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0034_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,35,151.0,4530,generally centered track,DVIDS 02:15-03:26 area remains generally centered,medium,16,2,649.0,550.2,646.0,548.0,7,6,34,0.81,bright,238,125,173.5,128.0,110.0,3.0,110.0,39.421,311.17,311.17,separate from colored overlay,263.16,"usable but weak, reacquisition-phase, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0035_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,36,152.0,4560,generally centered track,DVIDS 02:15-03:26 area remains generally centered,medium,17,1,666.4,558.9,663.0,556.0,8,7,41,0.732,bright,231,129,170.02,130.0,101.0,1.0,101.0,19.468,294.22,294.22,separate from colored overlay,246.26,"usable but weak, reacquisition-phase, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0036_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0036_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,37,153.0,4590,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,4,1,717.4,543.8,715.0,541.0,6,7,32,0.762,bright,251,137,194.25,143.0,108.0,6.0,108.0,53.169,242.66,242.66,separate from colored overlay,195.65,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0037_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,38,154.0,4620,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,17,1,757.4,528.9,754.0,527.0,9,6,39,0.722,bright,249,151,190.79,152.0,97.0,1.0,97.0,42.692,202.92,202.92,separate from colored overlay,155.73,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0038_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0038_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,39,155.0,4650,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,20,1,931.5,612.5,931.0,609.0,2,8,16,1.0,dark,98,19,58.06,174.0,-76.0,155.0,155.0,193.124,77.9,77.9,separate from colored overlay,39.65,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0039_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0039_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,40,156.0,4680,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,20,1,769.5,499.5,767.0,497.0,6,6,32,0.889,bright,250,149,199.84,151.0,99.0,2.0,99.0,197.517,194.76,194.76,separate from colored overlay,147.1,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0040_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0040_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,41,157.0,4710,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,20,1,940.3,597.6,932.0,597.0,18,3,37,0.685,dark,41,4,22.03,174.0,-133.0,170.0,170.0,196.963,60.87,60.87,near colored overlay,22.94,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0041_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0041_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,42,158.0,4740,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,17,1,743.0,493.2,740.0,490.0,8,7,43,0.768,bright,252,144,190.21,145.0,107.0,1.0,107.0,223.21,221.99,221.99,separate from colored overlay,174.33,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0042_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0042_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,43,159.0,4770,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,17,1,931.5,618.5,931.0,617.0,2,4,8,1.0,dark,98,18,57.62,172.0,-74.0,154.0,154.0,226.34,83.51,83.51,separate from colored overlay,45.92,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0043_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0043_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,44,160.0,4800,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,19,1,862.9,616.1,860.0,613.0,7,7,39,0.796,bright,253,160,206.38,171.0,82.0,11.0,82.0,68.644,123.37,123.37,separate from colored overlay,89.19,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0044_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0044_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,45,161.0,4830,generally centered track,DVIDS 02:15-03:26 area remains generally centered,high,15,1,823.3,619.3,820.0,617.0,9,7,42,0.667,bright,252,145,194.02,163.0,89.0,18.0,89.0,39.741,158.05,158.05,separate from colored overlay,118.33,compact contrast candidate aligned with PR27 phase description,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0045_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0045_patch.jpg
