"local_manifest_name","official_record","official_url","source_family","event_date","location","official_type","triage_class","key_observation","analysis_limit"
"fbi-photo-b4.jpg","FBI Photo B4","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b4.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object in center-right quadrant; indistinct natural background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b5.jpg","FBI Photo B5","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b5.pdf","B-series military-system still","Late 2025","Western United States","PDF","negative_or_control_frame","No distinct object clearly visible in the central frame; official screenshot shows reticle and redactions only.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b6.jpg","FBI Photo B6","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b6.pdf","B-series military-system still","Late 2025","Western United States","PDF","structured_object_with_secondary_dot","Dark structured object with left-side appendage near top of reticle and a smaller dark circular object below/right.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b6.pdf","FBI Photo B6","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b6.pdf","B-series military-system still","Late 2025","Western United States","PDF","duplicate_packaging","Local PDF and local JPG represent the same official B6 record.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b7.jpg","FBI Photo B7","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b7.pdf","B-series military-system still","Late 2025","Western United States","PDF","likely_conventional_aircraft_candidate","Dark object in upper-right quadrant is described as consistent with a helicopter; a smaller dot appears below the reticle.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b8.jpg","FBI Photo B8","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b8.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object just right/top-right of reticle center; indistinct mountain background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b9.jpg","FBI Photo B9","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b9.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object below and left of reticle center; indistinct mountain background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b10.jpg","FBI Photo B10","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b10.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object just above/right of reticle center; indistinct mountain background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b11.jpg","FBI Photo B11","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b11.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object in upper-right quadrant; indistinct mountain background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b12.jpg","FBI Photo B12","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b12.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object in upper-right quadrant; indistinct mountain background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b13.jpg","FBI Photo B13","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b13.pdf","B-series military-system still","Late 2025","Western United States","PDF","two_object_single_still","Two small dark elongated objects near frame center in bottom-right quadrant.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b14.jpg","FBI Photo B14","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b14.pdf","B-series military-system still","Late 2025","Western United States","PDF","two_object_single_still","Two small dark circular objects near frame center; redaction-edge artifact visible in lower-right quadrant.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b15.jpg","FBI Photo B15","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b15.pdf","B-series military-system still","Late 2025","Western United States","PDF","two_object_single_still","Two small dark circular objects near frame center in upper-right quadrant.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b16.jpg","FBI Photo B16","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b16.pdf","B-series military-system still","Late 2025","Western United States","PDF","two_object_single_still","Two dark irregular objects just right of center in upper-right quadrant.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b17.jpg","FBI Photo B17","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b17.pdf","B-series military-system still","Late 2025","Western United States","PDF","two_object_single_still","Two small dark circular objects near frame center.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b18.jpg","FBI Photo B18","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b18.pdf","B-series military-system still","Late 2025","Western United States","PDF","two_object_single_still","Two small dark elongated objects near frame center in lower-left quadrant.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b19.jpg","FBI Photo B19","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b19.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark pixel cluster forming an object at the reticle center.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b20.jpg","FBI Photo B20","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b20.pdf","B-series military-system still","Late 2025","Western United States","PDF","one_to_two_object_single_still","One to two small dark objects just above/right of reticle center.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b21.jpg","FBI Photo B21","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b21.pdf","B-series military-system still","Late 2025","Western United States","PDF","one_to_two_object_single_still","One to two small dark objects just above/right of reticle center.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b22.jpg","FBI Photo B22","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b22.pdf","B-series military-system still","Late 2025","Western United States","PDF","two_object_single_still","Two small dark elongated objects near frame center in upper-right quadrant.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b23.jpg","FBI Photo B23","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b23.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Single dark elongated object near reticle edge to the right of center.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b24.jpg","FBI Photo B24","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b24.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Single dark irregular object just above reticle center.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."

