video,release_id,report_id,sample_index,approx_second,source_frame_index,review_phase,dvids_anchor,review_quality,candidate_count,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,left_quarter_proxy,elongation_proxy,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,contrast_delta,aspect_ratio,distance_from_reticle_px,edge_margin_px,detection_threshold,raw_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,10,10.0,300,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,406.4,391.5,397,385,21,15,190,0.603,yes,yes,214,80,138.18,80.0,134.0,1.4,573.17,256.39,15.0,1171.174,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0010_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,11,11.0,330,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,399.6,431.2,391,426,18,13,165,0.705,yes,yes,187,85,134.14,83.0,104.0,1.385,570.84,249.62,15.0,996.498,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0011_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,12,12.0,360,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,384.4,498.4,376,491,18,16,183,0.635,yes,yes,195,81,133.98,87.0,108.0,1.125,577.1,234.4,15.0,1018.726,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0012_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,13,13.0,390,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,366.7,550.5,359,543,18,16,180,0.625,yes,yes,193,83,130.62,82.0,111.0,1.125,593.4,209.53,15.0,1037.621,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0013_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,14,14.0,420,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,355.1,591.6,346,584,20,15,188,0.627,yes,yes,186,75,125.59,80.0,106.0,1.333,607.1,168.43,15.0,1008.513,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0014_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,15,15.0,450,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,274.1,618.0,264,611,21,15,200,0.635,yes,yes,187,67,126.63,74.0,113.0,1.4,690.29,124.13,15.0,1056.901,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0015_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,16,16.0,480,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,398.9,594.4,389,588,20,13,182,0.7,yes,yes,178,89,132.14,87.0,91.0,1.538,563.75,165.64,15.0,918.518,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0016_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,17,17.0,510,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0017_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,18,18.0,540,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0018_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,19,19.0,570,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,low,1,220.5,498.0,220,497,2,3,6,1.0,yes,yes,101,75,85.17,72.0,29.0,1.5,740.69,70.5,15.0,400.283,"weak, edge-near, or lane-confounded bright contrast candidate",research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0019_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,20,20.0,600,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,medium,1,563.7,544.8,553,540,23,11,197,0.779,yes,yes,173,107,136.02,101.0,72.0,2.091,396.33,215.16,15.0,795.761,usable left-field bright contrast candidate; sensor motion and contrast changes limit motion inference,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0020_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,21,21.0,630,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,400.2,573.8,392,567,17,16,172,0.632,yes,yes,174,75,133.27,87.0,87.0,1.062,560.86,186.16,15.0,891.418,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0021_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,22,22.0,660,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,429.2,543.8,420,537,20,15,165,0.55,yes,yes,180,83,133.05,90.0,90.0,1.333,530.77,216.17,15.0,903.556,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0022_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,23,23.0,690,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,444.2,517.3,436,511,18,14,145,0.575,yes,yes,172,83,132.9,91.0,81.0,1.286,516.28,242.74,15.0,849.564,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0023_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,24,24.0,720,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,404.1,496.7,397,489,16,16,153,0.598,yes,yes,186,88,132.32,88.0,98.0,1.0,557.57,254.11,15.0,955.544,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0024_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,25,25.0,750,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,376.5,478.3,369,472,17,15,156,0.612,yes,yes,187,80,131.85,87.0,100.0,1.133,586.79,226.46,15.0,970.214,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0025_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,26,26.0,780,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,2,361.3,460.6,353,453,19,16,161,0.53,yes,yes,180,91,135.61,89.0,91.0,1.188,603.91,211.33,15.0,913.602,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0026_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,27,27.0,810,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,356.7,458.1,349,452,17,15,155,0.608,yes,yes,165,80,128.02,85.0,80.0,1.133,608.83,206.7,15.0,851.462,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0027_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,28,28.0,840,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,367.1,441.4,360,436,17,14,164,0.689,yes,yes,170,87,128.8,86.0,84.0,1.214,601.01,217.12,15.0,878.271,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0028_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,29,29.0,870,intermittent left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,401.1,413.0,394,407,15,14,163,0.776,yes,yes,167,78,126.06,78.0,89.0,1.071,573.17,251.08,15.0,909.491,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0029_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,30,30.0,900,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0030_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,31,31.0,930,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0031_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,32,32.0,960,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0032_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,33,33.0,990,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0033_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,34,34.0,1020,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0034_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,35,35.0,1050,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0035_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,36,36.0,1080,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0036_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0036_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,37,37.0,1110,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0037_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,38,38.0,1140,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0038_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0038_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,39,39.0,1170,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0039_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0039_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,40,40.0,1200,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0040_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0040_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,41,41.0,1230,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0041_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0041_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,42,42.0,1260,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0042_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0042_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,43,43.0,1290,late low-or-absent contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,none,0,,,,,,,,,no,no,,,,,,,,,,,no compact bright left-field candidate survived filtering,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0043_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0043_patch.jpg

