video,release_id,review_index,approx_second,source_frame_index,phase,dvids_anchor,phase_observation,seed_x_center_crop,seed_y_center_crop,seed_x_full_frame,seed_y_full_frame,seed_confidence,seed_note,overlay_relation,nearest_colored_overlay_px,annotated_frame_path,zoom_patch_path
DOD_111689115.mp4,DOW-UAP-PR44,12,256,7680,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,conservative compact return detected,228.4,403.5,708.4,673.5,high,single compact white candidate,separate from colored overlay,164.63,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0012_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,13,257,7710,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,conservative compact return detected,141.1,503.0,621.1,773.0,high,single compact white candidate,separate from colored overlay,57.18,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0013_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,14,258,7740,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0014_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,15,259,7770,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0015_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,16,260,7800,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0016_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,17,261,7830,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0017_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,18,262,7860,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0018_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,19,263,7890,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,conservative compact return detected,341.3,393.0,821.3,663.0,high,single compact white candidate,separate from colored overlay,106.94,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0019_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,20,264,7920,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,319.4,203.2,799.4,473.2,high,single compact white candidate,near colored overlay,32.89,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0020_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,21,265,7950,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0021_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,22,266,7980,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,218.4,281.3,698.4,551.3,high,single compact white candidate,separate from colored overlay,59.66,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0022_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,23,267,8010,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,237.4,299.5,717.4,569.5,high,single compact white candidate,separate from colored overlay,203.6,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0023_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,24,268,8040,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,258.9,297.6,738.9,567.6,high,single compact white candidate,separate from colored overlay,182.05,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0024_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,25,269,8070,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,280.5,282.8,760.5,552.8,high,single compact white candidate,separate from colored overlay,158.94,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0025_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,26,270,8100,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,293.7,266.5,773.7,536.5,high,single compact white candidate,separate from colored overlay,145.31,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0026_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,27,271,8130,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,300.0,248.5,780.0,518.5,high,single compact white candidate,separate from colored overlay,140.36,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0027_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,28,272,8160,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,316.5,231.0,796.5,501.0,high,single compact white candidate,separate from colored overlay,127.97,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0028_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,29,273,8190,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,348.5,221.3,828.5,491.3,high,single compact white candidate,separate from colored overlay,101.84,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0029_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,30,274,8220,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,380.5,218.0,860.5,488.0,low,single compact white candidate,separate from colored overlay,76.96,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0030_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,31,275,8250,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,414.5,233.5,894.5,503.5,low,single compact white candidate,separate from colored overlay,42.31,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0031_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,32,276,8280,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0032_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,33,277,8310,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0033_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,34,278,8340,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,516.5,289.5,996.5,559.5,medium,single compact white candidate,near colored overlay,18.56,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0034_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,35,279,8370,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0035_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,36,280,8400,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0036_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,37,281,8430,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,616.8,336.3,1096.8,606.3,high,single compact white candidate,separate from colored overlay,120.1,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0037_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,38,282,8460,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,647.5,347.7,1127.5,617.7,high,single compact white candidate,separate from colored overlay,152.23,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0038_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0038_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,39,283,8490,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,676.2,358.3,1156.2,628.3,high,single compact white candidate,separate from colored overlay,182.44,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0039_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0039_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,40,284,8520,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,641.0,346.5,1121.0,616.5,high,single compact white candidate,separate from colored overlay,146.89,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0040_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0040_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,41,285,8550,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0041_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,42,286,8580,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0042_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,43,287,8610,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,245.0,186.5,725.0,456.5,low,single compact white candidate,separate from colored overlay,210.42,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0043_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0043_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,44,288,8640,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,conservative compact return detected,126.8,140.0,606.8,410.0,low,single compact white candidate,separate from colored overlay,105.11,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0044_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0044_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,45,289,8670,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0045_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,46,290,8700,zoom-out continued-track interval,Within DVIDS 04:24-04:50 sensor zooms out and continues tracking interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0046_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,47,291,8730,loss-exit interval,Within DVIDS 04:50-04:54 sensor stops tracking as object exits field of view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0047_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,48,292,8760,loss-exit interval,Within DVIDS 04:50-04:54 sensor stops tracking as object exits field of view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0048_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,49,293,8790,loss-exit interval,Within DVIDS 04:50-04:54 sensor stops tracking as object exits field of view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0049_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,50,294,8820,loss-exit interval,Within DVIDS 04:50-04:54 sensor stops tracking as object exits field of view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0050_annotated.jpg,

