video,release_id,sample_index,approx_second,source_frame_index,is_dvids_event_window,dvids_phase,dvids_anchor,review_quality,candidate_count,target_center_x,target_center_y,expected_lane_x,expected_lane_y,distance_from_expected_lane_px,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_w,bbox_h,component_area,fill_ratio,max_luma,mean_luma,local_median_luma,brightness_delta,max_positive_contrast,mean_positive_contrast,positive_contrast_sum,positive_contrast_threshold,score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689044.mp4,DOW-UAP-PR37,13,1.3,39,no,pre-described context,DVIDS gives no target description before 00:06,none,26,647.0,962.9,505.0,1028.0,156.2,642,959,654,968,12,9,70,0.648,102,94.986,121.0,-19.0,26,18.743,1312.0,17.0,930.408,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0013_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,14,1.4,42,no,pre-described context,DVIDS gives no target description before 00:06,none,36,645.7,962.1,505.0,1028.0,155.39,641,958,652,968,11,10,83,0.755,103,95.88,121.0,-18.0,28,18.976,1575.0,16.0,1206.315,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0014_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,15,1.5,45,no,pre-described context,DVIDS gives no target description before 00:06,none,25,645.3,961.3,505.0,1028.0,155.32,640,957,651,968,11,11,82,0.678,104,96.232,121.0,-17.0,28,18.0,1476.0,16.0,1129.031,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0015_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,16,1.6,48,no,pre-described context,DVIDS gives no target description before 00:06,none,29,612.9,924.3,505.0,1028.0,149.65,604,921,622,929,18,8,68,0.472,104,92.544,121.0,-17.0,25,15.956,1085.0,16.0,720.065,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0016_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,17,1.7,51,no,pre-described context,DVIDS gives no target description before 00:06,none,20,626.4,920.5,505.0,1028.0,162.16,620,919,632,923,12,4,35,0.729,101,91.714,122.0,-21.0,26,16.6,581.0,16.0,164.014,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0017_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,18,1.8,54,no,pre-described context,DVIDS gives no target description before 00:06,none,26,666.3,820.4,505.0,1028.0,262.92,661,817,671,824,10,7,41,0.586,109,100.512,122.0,-13.0,26,16.78,688.0,16.0,-28.249,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0018_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,19,1.9,57,no,pre-described context,DVIDS gives no target description before 00:06,none,40,648.6,748.9,505.0,1028.0,313.85,642,745,655,754,13,9,64,0.547,104,96.609,122.0,-18.0,23,15.156,970.0,16.0,106.439,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0019_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,20,2.0,60,no,pre-described context,DVIDS gives no target description before 00:06,none,23,596.5,1012.0,505.0,1028.0,92.89,596,1011,598,1014,2,3,6,1.0,105,96.167,121.0,-16.0,23,14.167,85.0,18.0,-138.665,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0020_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,21,2.1,63,no,pre-described context,DVIDS gives no target description before 00:06,none,35,668.0,814.9,505.0,1028.0,268.33,658,811,677,820,19,9,69,0.404,108,99.493,119.0,-11.0,25,15.145,1045.0,17.0,324.507,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0021_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,22,2.2,66,no,pre-described context,DVIDS gives no target description before 00:06,none,34,697.8,848.8,505.0,1028.0,263.27,688,845,709,854,21,9,91,0.481,110,98.681,119.0,-9.0,27,17.516,1594.0,17.0,903.677,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0022_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,23,2.3,69,no,pre-described context,DVIDS gives no target description before 00:06,none,32,698.1,848.6,505.0,1028.0,263.61,688,844,709,855,21,11,115,0.498,110,98.183,119.0,-9.0,30,17.104,1967.0,17.0,1293.67,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0023_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,24,2.4,72,no,pre-described context,DVIDS gives no target description before 00:06,none,31,696.6,849.0,505.0,1028.0,262.24,688,844,709,855,21,11,107,0.463,110,97.981,119.0,-9.0,27,17.654,1889.0,17.0,1209.767,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0024_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,25,2.5,75,no,pre-described context,DVIDS gives no target description before 00:06,none,33,624.4,945.7,505.0,1028.0,145.04,618,943,631,950,13,7,58,0.637,101,91.448,119.0,-18.0,27,17.328,1005.0,17.0,652.874,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0025_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,26,2.6,78,no,pre-described context,DVIDS gives no target description before 00:06,none,34,624.2,945.7,505.0,1028.0,144.85,618,943,631,950,13,7,61,0.67,101,91.557,119.0,-18.0,27,17.41,1062.0,17.0,711.937,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0026_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,27,2.7,81,no,pre-described context,DVIDS gives no target description before 00:06,none,27,453.5,995.0,505.0,1028.0,61.17,452,994,456,997,4,3,8,0.667,146,140.125,120.0,26.0,23,16.125,129.0,17.0,-4.497,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0027_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,28,2.8,84,no,pre-described context,DVIDS gives no target description before 00:06,none,31,793.4,463.7,505.0,1028.0,633.75,782,460,805,468,23,8,113,0.614,97,87.496,119.0,-22.0,27,18.044,2039.0,17.0,248.239,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0028_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,29,2.9,87,no,pre-described context,DVIDS gives no target description before 00:06,none,29,450.4,987.5,505.0,1028.0,67.95,447,985,455,991,8,6,29,0.604,154,144.793,121.0,33.0,24,17.966,521.0,17.0,379.643,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0029_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,30,3.0,90,no,pre-described context,DVIDS gives no target description before 00:06,none,24,449.8,987.9,505.0,1028.0,68.24,443,985,457,993,14,8,53,0.473,154,143.377,119.0,35.0,24,16.868,894.0,17.0,763.783,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0030_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,31,3.1,93,no,pre-described context,DVIDS gives no target description before 00:06,none,23,450.6,987.7,505.0,1028.0,67.65,447,985,457,993,10,8,46,0.575,153,143.217,119.0,34.0,24,17.761,817.0,17.0,685.04,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0031_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,32,3.2,96,no,pre-described context,DVIDS gives no target description before 00:06,none,33,450.2,987.8,505.0,1028.0,67.95,447,986,456,992,9,6,36,0.667,153,144.361,119.0,34.0,23,17.444,628.0,17.0,488.141,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0032_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,33,3.3,99,no,pre-described context,DVIDS gives no target description before 00:06,none,25,622.4,932.1,505.0,1028.0,151.62,619,929,628,936,9,7,47,0.746,101,94.787,119.0,-18.0,25,18.745,881.0,17.0,499.633,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0033_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,34,3.4,102,no,pre-described context,DVIDS gives no target description before 00:06,none,26,682.2,222.2,505.0,1028.0,825.02,668,218,697,228,29,10,155,0.534,157,143.974,119.0,38.0,33,19.426,3011.0,17.0,679.434,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0034_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,35,3.5,105,no,pre-described context,DVIDS gives no target description before 00:06,none,23,622.2,931.2,505.0,1028.0,152.05,619,927,627,936,8,9,54,0.75,101,93.722,119.0,-18.0,26,18.667,1008.0,17.0,648.857,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0035_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,36,3.6,108,no,pre-described context,DVIDS gives no target description before 00:06,none,27,683.7,221.6,505.0,1028.0,825.96,668,218,699,227,31,9,135,0.484,156,144.341,119.0,37.0,31,18.667,2520.0,17.0,171.616,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0036_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0036_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,37,3.7,111,no,pre-described context,DVIDS gives no target description before 00:06,none,26,456.3,757.5,505.0,1028.0,274.81,450,755,463,761,13,6,48,0.615,142,132.125,119.0,23.0,23,17.417,836.0,17.0,81.572,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0037_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,38,3.8,114,no,pre-described context,DVIDS gives no target description before 00:06,none,29,665.8,597.1,505.0,1028.0,459.89,651,593,679,601,28,8,97,0.433,101,89.557,119.0,-18.0,25,17.649,1712.0,17.0,430.84,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0038_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0038_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,39,3.9,117,no,pre-described context,DVIDS gives no target description before 00:06,none,25,663.6,596.7,505.0,1028.0,459.55,649,593,679,601,30,8,127,0.529,100,89.969,119.0,-19.0,25,17.701,2248.0,17.0,982.854,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0039_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0039_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,40,4.0,120,no,pre-described context,DVIDS gives no target description before 00:06,none,20,287.1,1021.4,505.0,1028.0,218.02,280,1018,295,1026,15,8,50,0.417,238,230.2,118.0,120.0,23,18.28,914.0,18.0,330.942,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0040_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0040_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,41,4.1,123,no,pre-described context,DVIDS gives no target description before 00:06,none,30,699.5,1015.1,505.0,1028.0,194.98,694,1011,706,1021,12,10,53,0.442,116,105.943,118.0,-2.0,28,18.453,978.0,17.0,475.568,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0041_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0041_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,42,4.2,126,no,pre-described context,DVIDS gives no target description before 00:06,none,26,696.9,1015.5,505.0,1028.0,192.29,692,1013,701,1021,9,8,43,0.597,115,106.186,119.0,-4.0,27,18.721,805.0,17.0,303.631,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0042_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0042_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,43,4.3,129,no,pre-described context,DVIDS gives no target description before 00:06,none,27,703.8,854.5,505.0,1028.0,263.92,700,849,708,860,8,11,53,0.602,105,97.962,119.0,-14.0,25,17.868,947.0,17.0,253.744,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0043_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0043_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,44,4.4,132,no,pre-described context,DVIDS gives no target description before 00:06,none,27,703.9,853.2,505.0,1028.0,264.77,700,847,708,859,8,12,56,0.583,107,98.571,121.0,-14.0,27,17.857,1000.0,17.0,311.691,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0044_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0044_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,45,4.5,135,no,pre-described context,DVIDS gives no target description before 00:06,none,29,704.0,853.5,505.0,1028.0,264.68,700,847,708,859,8,12,60,0.625,107,98.25,121.0,-14.0,27,17.567,1054.0,17.0,367.947,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0045_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0045_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,46,4.6,138,no,pre-described context,DVIDS gives no target description before 00:06,none,26,562.5,895.0,505.0,1028.0,144.9,562,894,564,897,2,3,6,1.0,108,103.5,119.0,-11.0,17,12.5,75.0,17.0,-316.692,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0046_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0046_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,47,4.7,141,no,pre-described context,DVIDS gives no target description before 00:06,none,34,601.8,1000.9,505.0,1028.0,100.52,600,999,605,1004,5,5,16,0.64,102,96.75,119.0,-17.0,20,15.312,245.0,16.0,1.429,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0047_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0047_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,48,4.8,144,no,pre-described context,DVIDS gives no target description before 00:06,none,40,585.9,1065.1,505.0,1028.0,88.96,583,1064,589,1068,6,4,15,0.625,114,107.867,121.0,-7.0,26,18.133,272.0,16.0,64.629,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0048_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0048_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,49,4.9,147,no,pre-described context,DVIDS gives no target description before 00:06,none,30,665.6,934.1,505.0,1028.0,185.98,660,932,671,937,11,5,49,0.891,103,96.306,121.0,-18.0,24,16.571,812.0,16.0,326.551,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0049_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0049_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,50,5.0,150,no,pre-described context,DVIDS gives no target description before 00:06,none,22,627.8,940.0,505.0,1028.0,151.1,622,937,636,944,14,7,59,0.602,100,93.119,121.0,-21.0,25,18.305,1080.0,17.0,706.21,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0050_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0050_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,51,5.1,153,no,pre-described context,DVIDS gives no target description before 00:06,none,31,662.6,933.6,505.0,1028.0,183.7,654,931,671,937,17,6,93,0.912,101,94.419,120.0,-19.0,23,17.0,1581.0,16.0,1122.392,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0051_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0051_patch.jpg
