video,release_id,report_id,frame_index,second,phase,phase_note,target_candidate,review_quality,candidate_count,candidate_score,candidate_center_x,candidate_center_y,candidate_area,candidate_bbox_w,candidate_bbox_h,candidate_aspect_ratio,candidate_min_luma,candidate_max_luma,candidate_mean_luma,candidate_mean_signed_delta_luma,candidate_contrast_delta_luma,candidate_line_distance_px,candidate_expected_distance_px,candidate_line_projection_fraction,expected_center_x,expected_center_y,notes
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,165,5.5,upper-right exit interval,DVIDS: area of contrast exits near the upper-right around six seconds,True,medium,15,709.724712,1270.81,226.529,121,10,25,2.5,137,215,187.46281,79.247934,122.0,27.976,167.843,0.794979,1430.0,173.333,"usable upper-right diagonal/exit residual candidate, but urban terrain and compression confounds remain"
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,180,6.0,upper-right exit interval,DVIDS: area of contrast exits near the upper-right around six seconds,False,low,11,598.373338,1271.183,234.05,60,10,12,1.2,159,215,194.783333,100.733333,132.0,21.164,282.831,0.792619,1530.0,120.0,"weak, poorly phased, or poorly located diagonal-lane residual; retained as context only"
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,195,6.5,upper-right exit interval,DVIDS: area of contrast exits near the upper-right around six seconds,False,low,13,610.576142,1271.362,235.652,69,15,10,1.5,140,213,190.536232,102.594203,130.0,19.666,283.318,0.792181,1530.0,120.0,"weak, poorly phased, or poorly located diagonal-lane residual; retained as context only"
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,210,7.0,post-exit context,after the described exit interval; retained as context only,False,low,12,584.364492,814.241,467.632,133,10,50,5.0,67,242,177.172932,115.135338,186.0,30.094,795.713,0.415335,1530.0,120.0,post-exit residual retained as context only
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,225,7.5,post-exit context,after the described exit interval; retained as context only,False,low,14,605.407345,816.275,480.049,102,8,29,3.625,119,252,207.127451,147.960784,198.0,18.181,799.399,0.412358,1530.0,120.0,post-exit residual retained as context only
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,240,8.0,post-exit context,after the described exit interval; retained as context only,False,low,15,513.204457,816.387,483.839,62,7,14,2.0,145,251,219.532258,161.709677,195.0,14.784,801.013,0.41112,1530.0,120.0,post-exit residual retained as context only
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,255,8.5,post-exit context,after the described exit interval; retained as context only,False,low,13,524.910934,816.736,483.486,72,8,15,1.875,137,251,218.486111,159.694444,195.0,14.931,800.542,0.411469,1530.0,120.0,post-exit residual retained as context only
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,270,9.0,post-exit context,after the described exit interval; retained as context only,False,low,13,533.279907,817.066,483.539,76,8,16,2.0,151,253,220.710526,161.328947,195.0,14.728,800.273,0.411664,1530.0,120.0,post-exit residual retained as context only
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,285,9.5,post-exit context,after the described exit interval; retained as context only,False,low,11,554.164265,817.829,484.134,82,9,17,1.888889,150,252,220.085366,159.5,198.0,13.844,799.863,0.411954,1530.0,120.0,post-exit residual retained as context only
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,300,10.0,post-exit context,after the described exit interval; retained as context only,False,low,11,599.605894,814.447,485.702,141,27,20,1.35,123,253,211.191489,149.475177,192.0,14.053,803.588,0.409216,1530.0,120.0,post-exit residual retained as context only
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,315,10.5,post-exit context,after the described exit interval; retained as context only,False,low,12,541.575389,817.856,483.979,97,10,19,1.9,126,251,215.762887,155.237113,190.0,13.968,799.769,0.412024,1530.0,120.0,post-exit residual retained as context only

