case,record_id,video,second,frame_index,manual_overlay_review_status,notes
PR052,DOW-UAP-PR052,DOD_111719718.mp4,0,0,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,24,576,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,25,600,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,26,624,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,27,648,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,28,672,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,29,696,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,30,720,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,31,744,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,32,768,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,33,792,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,34,816,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,35,840,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,36,864,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,37,888,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,38,912,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,39,936,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,40,960,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,41,984,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,42,1008,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,43,1032,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,44,1056,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,45,1080,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,46,1104,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,47,1128,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,48,1152,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,49,1176,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,50,1200,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,51,1224,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,52,1248,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,53,1272,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,54,1296,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,55,1320,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,56,1344,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,57,1368,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,58,1392,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,59,1416,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,60,1440,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,61,1464,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,62,1488,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,63,1512,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,64,1536,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,65,1560,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,66,1584,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,67,1608,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,68,1632,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,69,1656,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,70,1680,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,71,1704,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,72,1728,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,73,1752,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,74,1776,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,75,1800,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,76,1824,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,77,1848,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,78,1872,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,79,1896,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,80,1920,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,81,1944,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,82,1968,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,83,1992,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,84,2016,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,85,2040,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,86,2064,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,87,2088,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,88,2112,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,89,2136,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,90,2160,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,91,2184,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,92,2208,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,93,2232,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,94,2256,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,95,2280,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,96,2304,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,97,2328,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,98,2352,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,99,2376,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,100,2400,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,101,2424,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,102,2448,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,103,2472,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,104,2496,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,105,2520,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,106,2544,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,107,2568,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,108,2592,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,109,2616,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,110,2640,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,111,2664,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,112,2688,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,113,2712,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,114,2736,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,115,2760,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,116,2784,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,117,2808,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,118,2832,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,119,2856,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,120,2880,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,121,2904,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,122,2928,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,123,2952,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,124,2976,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,125,3000,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,126,3024,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,127,3048,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,128,3072,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,129,3096,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,130,3120,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,131,3144,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,132,3168,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,133,3192,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,134,3216,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,135,3240,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,136,3264,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,137,3288,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,138,3312,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,139,3336,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,140,3360,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,141,3384,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,142,3408,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,143,3432,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,144,3456,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,145,3480,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,146,3504,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,147,3528,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,148,3552,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,149,3576,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,150,3600,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,151,3624,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,152,3648,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,153,3672,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,154,3696,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,155,3720,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,156,3744,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,157,3768,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,158,3792,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,159,3816,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,160,3840,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,161,3864,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,162,3888,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
