video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,track_candidate_rank,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,polarity,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,bright_delta,dark_delta,contrast_delta,step_from_previous_supported_px,distance_from_reticle_px,overlay_relation,nearest_colored_overlay_px,caveat,annotated_frame_path,zoom_patch_path
DOD_111689083.mp4,DOW-UAP-PR41,10,10.0,300,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,6,1,1286.6,661.9,1285.0,660.0,4,5,17,bright,211,194,200.94,186.0,25.0,-8.0,25.0,58.283,345.87,separate from colored overlay,141.01,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0010_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,11,11.0,330,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,8,2,1361.0,695.0,1360.0,694.0,3,3,9,bright,216,202,208.56,194.0,22.0,-8.0,22.0,23.431,427.09,separate from colored overlay,113.09,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0011_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,12,12.0,360,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,6,1,1354.5,712.5,1353.0,711.0,4,4,12,bright,218,193,205.5,193.0,25.0,0.0,25.0,32.606,427.42,separate from colored overlay,94.43,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0012_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,13,13.0,390,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,5,1,1365.5,662.0,1364.0,661.0,4,3,10,bright,214,201,208.5,195.0,19.0,-6.0,19.0,32.176,421.22,separate from colored overlay,145.62,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0013_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,14,14.0,420,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,7,2,1394.5,670.5,1393.0,669.0,4,4,12,bright,202,192,198.25,187.0,15.0,-5.0,15.0,54.925,451.44,separate from colored overlay,150.65,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0014_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,15,15.0,450,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,8,1,1358.0,710.0,1357.0,709.0,3,3,9,bright,218,207,212.78,197.0,21.0,-10.0,21.0,32.062,429.71,separate from colored overlay,98.09,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0015_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,16,16.0,480,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,6,2,1419.9,675.9,1419.0,675.0,3,3,8,bright,210,190,197.38,187.0,23.0,-3.0,23.0,79.204,477.32,separate from colored overlay,159.95,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0016_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,17,17.0,510,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,5,1,1346.0,673.0,1345.0,672.0,3,3,9,bright,223,200,211.78,200.0,23.0,0.0,23.0,11.04,405.74,separate from colored overlay,129.84,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0017_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,18,18.0,540,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,6,1,1267.1,672.7,1265.0,670.0,5,6,24,bright,207,195,200.83,188.0,19.0,-7.0,19.0,74.548,331.46,separate from colored overlay,135.01,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0018_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,19,19.0,570,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,9,5,1260.1,669.4,1259.0,668.0,3,4,11,bright,197,192,194.36,183.0,14.0,-9.0,14.0,81.999,323.7,separate from colored overlay,140.57,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0019_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,20,20.0,600,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,medium,9,1,1198.5,645.0,1196.0,643.0,6,5,26,bright,229,189,209.54,171.0,58.0,-18.0,58.0,147.414,257.47,separate from colored overlay,161.16,"usable but weak, background-confounded, or less smooth contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0020_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,21,21.0,630,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,6,1,1242.7,642.9,1239.0,640.0,9,7,44,bright,241,182,209.98,175.0,66.0,-7.0,66.0,44.233,298.17,separate from colored overlay,153.87,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0021_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,22,22.0,660,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1273.7,638.3,1268.0,632.0,13,12,107,bright,243,174,208.84,175.0,68.0,1.0,68.0,31.318,326.4,separate from colored overlay,149.67,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0022_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,23,23.0,690,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1304.1,634.4,1298.0,630.0,12,10,79,bright,241,179,207.61,173.0,68.0,-6.0,68.0,30.644,354.75,separate from colored overlay,152.25,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0023_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,24,24.0,720,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1336.8,637.2,1333.0,634.0,8,7,39,bright,230,181,205.54,175.0,55.0,-6.0,55.0,32.896,387.25,separate from colored overlay,163.82,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0024_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,25,25.0,750,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1355.0,651.6,1352.0,649.0,8,7,43,bright,248,187,212.4,176.0,72.0,-11.0,72.0,23.203,408.36,separate from colored overlay,154.19,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0025_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,26,26.0,780,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1376.4,654.7,1372.0,650.0,10,10,79,bright,243,186,213.84,172.0,71.0,-14.0,71.0,21.611,429.84,separate from colored overlay,156.25,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0026_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,27,27.0,810,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1401.4,639.0,1397.0,635.0,9,8,50,bright,251,176,210.84,172.0,79.0,-4.0,79.0,29.523,450.68,separate from colored overlay,180.88,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0027_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,28,28.0,840,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1414.5,610.1,1412.0,607.0,7,7,37,bright,242,179,208.73,171.0,71.0,-8.0,71.0,31.746,458.76,separate from colored overlay,201.88,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0028_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,29,29.0,870,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1394.8,600.1,1393.0,597.0,5,7,30,bright,225,183,200.8,167.0,58.0,-16.0,58.0,22.106,437.94,separate from colored overlay,181.82,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0029_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,30,30.0,900,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1334.7,632.3,1328.0,626.0,14,13,131,bright,232,175,202.76,173.0,59.0,-2.0,59.0,68.215,384.08,separate from colored overlay,168.43,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0030_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,31,31.0,930,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1271.3,681.1,1263.0,675.0,18,13,133,bright,246,190,208.56,182.0,64.0,-8.0,64.0,79.97,338.6,separate from colored overlay,126.68,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0031_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,32,32.0,960,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1207.6,698.6,1205.0,694.0,7,10,51,bright,223,176,196.9,172.0,51.0,-4.0,51.0,66.152,289.8,separate from colored overlay,144.23,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0032_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,33,33.0,990,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1152.9,671.1,1151.0,669.0,5,5,22,bright,222,182,204.64,156.0,66.0,-26.0,66.0,61.213,228.83,separate from colored overlay,190.25,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0033_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,34,34.0,1020,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1108.1,650.1,1107.0,649.0,3,3,8,bright,211,182,197.12,143.0,68.0,-39.0,68.0,49.449,179.92,separate from colored overlay,143.01,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0034_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,35,35.0,1050,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,12,1,1059.5,646.0,1057.0,644.0,6,5,22,bright,237,172,204.59,137.0,100.0,-35.0,100.0,48.8,139.66,separate from colored overlay,109.52,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0035_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,36,36.0,1080,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,medium,18,1,1019.5,653.0,1019.0,652.0,2,3,6,bright,224,176,201.83,136.0,88.0,-40.0,88.0,40.608,120.69,separate from colored overlay,87.39,"usable but weak, background-confounded, or less smooth contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0036_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0036_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,37,37.0,1110,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,15,1,1258.9,724.9,1258.0,724.0,3,3,8,bright,218,202,209.12,195.0,23.0,-7.0,23.0,249.933,347.29,separate from colored overlay,93.41,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0037_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,38,38.0,1140,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,14,4,1313.5,744.5,1313.0,744.0,2,2,4,bright,216,209,212.25,196.0,20.0,-13.0,20.0,307.909,404.44,separate from colored overlay,55.52,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0038_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0038_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,39,39.0,1170,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,9,1,978.4,686.6,977.0,685.0,4,4,13,bright,236,182,209.85,138.0,98.0,-44.0,98.0,53.108,139.83,separate from colored overlay,97.76,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0039_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0039_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,40,40.0,1200,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,14,1,986.5,690.3,984.0,688.0,6,5,22,bright,234,170,204.73,136.0,98.0,-34.0,98.0,8.901,144.72,separate from colored overlay,103.28,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0040_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0040_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,41,41.0,1230,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,18,4,1265.8,786.8,1264.0,785.0,5,5,20,bright,199,189,195.2,183.0,16.0,-6.0,16.0,295.446,387.92,separate from colored overlay,40.18,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0041_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0041_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,42,42.0,1260,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,14,1,1031.0,669.0,1029.0,667.0,5,5,21,bright,230,163,200.33,133.0,97.0,-30.0,97.0,49.323,140.29,separate from colored overlay,106.96,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0042_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0042_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,43,43.0,1290,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,14,1,1051.5,657.5,1049.0,655.0,6,6,26,bright,243,173,209.73,142.0,101.0,-31.0,101.0,23.505,142.7,separate from colored overlay,114.72,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0043_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0043_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,44,44.0,1320,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1076.3,657.5,1073.0,655.0,7,6,30,bright,245,171,208.63,144.0,101.0,-27.0,101.0,24.767,159.71,separate from colored overlay,127.63,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0044_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0044_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,45,45.0,1350,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,10,1,1108.5,658.5,1107.0,657.0,4,4,12,bright,220,178,203.67,150.0,70.0,-28.0,70.0,32.249,185.1,separate from colored overlay,147.85,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0045_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0045_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,46,46.0,1380,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,high,18,1,1099.0,660.2,1097.0,658.0,5,5,20,bright,224,174,202.45,146.0,78.0,-28.0,78.0,9.611,178.7,separate from colored overlay,142.86,compact contrast candidate on smooth sensor-tracked lane,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0046_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0046_patch.jpg
