record_id,title,dvids_id,og_title,derived,upload,duration,altered,pairing,first_description
"DOW-UAP-PR059","DOW-UAP-PR059, ""NAG UAP 1 Jun 20""","1007727","DOW-UAP-PR059, ""NAG UAP 1 Jun 20""","NAG UAP 1 Jun 20,","June 2024","00:04:51","no","none","00:02-00:36: An area of contrast appears in the sensor field-of-view. The sensor zooms and pans to keep the area of contrast in the field-of-view. 00:37-03:37: The sensor continues to pan to track the area of contrast, highlighting it with a reticle. 03:38: The area of contrast exits the sensor field-of-view, leaving the frame in the bottom left quarter of the screen. 03:39-04:35: The sensor zooms out, pans to track the area of contrast, and zooms in to keep the area of contrast in the field-of-view. 04:36-04:51: The sensor cycles zoom levels to keep the area of contrast within the sensor fiel"
"DOW-UAP-PR060","DOW-UAP-PR060, ""Spherical UAP [CALLSIGN] 2021/04/12 obj 2""","1007734","DOW-UAP-PR060, ""Spherical UAP [CALLSIGN] 2021/04/12 obj 2""","Spherical UAP [CALLSIGN] 2021/04/12 obj 2,","June 2024","00:04:50","no","none","00:00-00:26: An area of contrast transits the sensor field-of-view from right to left. The sensor pans and zooms in and out to track the area of contrast. 00:27-02:04: The area of contrast re-enters the sensor field-of-view. The sensor pans to the left and up to track it. 02:05-04:50: The sensor refocuses on the original subject matter of the video. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s v"
"DOW-UAP-PR061","DOW-UAP-PR061, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 0""","1007735","DOW-UAP-PR061, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 0""","","June 2024","00:04:46","no","none","03:02-04:00: An area of contrast enters the sensor field-of-view from the upper right corner of the frame, exiting in the bottom right corner of the screen. The sensor pans to track the area of contrast, centering it within the sensor field-of-view. 04:01-04:46: The sensor changes modes as the area of contrast becomes indistinct against the background. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™"
"DOW-UAP-PR062","DOW-UAP-PR062, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 1""","1007739","DOW-UAP-PR062, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 1""","Spherical UAP [CALLSIGN] 2021/04/12 vid 1,","May 2024","00:04:49","no","none","00:00-04:49: The sensor pans and cycles zoom levels to track an area of contrast, keeping it generally within the center of the sensor field-of-view. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR063","DOW-UAP-PR063, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 2""","1007740","DOW-UAP-PR063, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 2""","Spherical UAP [CALLSIGN] 2021/04/12 vid 2,","May 2024","00:04:49","no","none","00:00-00:49: The sensor pans to track an area of contrast, keeping it generally within the center of the sensor field-of-view. 00:50: The sensor pans away from the area of contrast. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR064","DOW-UAP-PR064, ""AFSOC Kabul UAP Jul 2017""","1007741","DOW-UAP-PR064, ""AFSOC Kabul UAP Jul 2017""","AFSOC Kabul UAP Jul 2017,","June 2024","00:00:17","no","none","00:00-00:13: No content. 00:14-00:15: An area of contrast moves into the sensor field-of-view from the left edge and moves to the right edge out of the field-of-view. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR065","DOW-UAP-PR065, ""USCG C-144 Tyndall UAP 2 TIC TAC IR hot 24 April 2024""","1007777","DOW-UAP-PR065, ""USCG C-144 Tyndall UAP 2 TIC TAC IR hot 24 April 2024""","USCG C-144 Tyndall UAP 2 TIC TAC IR hot 24 April 2024,","June 2024","00:00:38","no","none","00:00-00:32: A sensor pans to keep an area of contrast in its field-of-view. 00:33: The sensor pans to the left causing the area of contrast to leave the field-of-view on the right side of the frame. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR066","DOW-UAP-PR066, ""USCG C-144 Tyndall UAP 1 TIC TAC IR hot 24 April 2024""","1007778","DOW-UAP-PR066, ""USCG C-144 Tyndall UAP 1 TIC TAC IR hot 24 April 2024""","USCG C-144 Tyndall UAP 1 TIC TAC IR hot 24 April 2024,","June 2024","00:00:48","no","none","00:09-00:15: An area of contrast appears from the upper right side of the screen. The sensor does not pan to track the area of contrast, causing it to leave the field-of-view on the left side of the frame. 00:33-00:48: An area of contrast enters the field-of-view from the lower right side of the screen and leaves the field-of-view on the lower left side of the screen. The sensor pans to the left, but is unable to track the area of contrast. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical j"
"DOW-UAP-PR067","DOW-UAP-PR067, ""Multiple Spherical UAP USO near Sub. [CALLSIGN] 2022/03/25 in and out of water""","1007779","DOW-UAP-PR067, ""Multiple Spherical UAP USO near Sub. [CALLSIGN] 2022/03/25 in and out of water""","Multiple Spherical UAP USO near Sub. [CALLSIGN] 2022/03/25 in and out of water,","May 2024","00:04:50","no","none","00:45-00:56: An area of contrast enters the field-of-view from the bottom left side of the screen and moves to the bottom right of the screen. The sensor pans to track the area of contrast. 00:57-01:10: A second area of contrast enters the field-of-view from the bottom right side of the screen. The sensor pans to keep both objects in its field-of-view, but the second object briefly leaves the field of view off the right side of the screen. The first area of contrast leaves the field-of-view off the right side of the frame, and the sensor pans to continue tracking the second object, which then"
"DOW-UAP-PR068","DOW-UAP-PR068, ""IIR 1 666 S0151 23/Video Footage of Unidentified Aerial Phenomenon (UAP) captured by fifth generation aircraft on 20 Jan 23""","1007780","DOW-UAP-PR068, ""IIR 1 666 S0151 23/Video Footage of Unidentified Aerial Phenomenon (UAP) captured by fifth generation aircraft on 20 Jan 23""","IIR 1 666 S0151 23/Video Footage of Unidentified Aerial Phenomenon (UAP) captured by fifth generation aircraft on 20 Jan 23,","July 2023","00:01:03","no","none","00:00-00:31: A sensor tracks an area of contrast, keeping it generally within the center of the field-of-view. 00:32-01:03: The area of contrast briefly moves in and out of the field-of-view from the top of the frame as the sensor pans to track it. 00:48: A second area of contrast becomes visible in the upper right quarter of the screen. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nat"
"DOW-UAP-PR069","DOW-UAP-PR069, ""F/A-18 FLIR UAP""","1007781","DOW-UAP-PR069, ""F/A-18 FLIR UAP""","F/A-18 FLIR UAP,","July 2023","00:00:29","no","none","A sensor pans to track an area of contrast. At the 14 second mark, a reticle surrounds the area of contrast. At the 27 second mark, the reticle loses its track on the area of contrast. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR070","DOW-UAP-PR070, ""IIR 1 655 S0301 23/Eglin AFB Aircrew Observed Unidentified Aerial Phenomena (UAP) on 13 Feb 23""","1007783","DOW-UAP-PR070, ""IIR 1 655 S0301 23/Eglin AFB Aircrew Observed Unidentified Aerial Phenomena (UAP) on 13 Feb 23""","IIR 1 655 S0301 23/Eglin AFB Aircrew Observed Unidentified Aerial Phenomena (UAP) on 13 Feb 23,","March 2023","00:00:30","no","none","A sensor pans to keep an area of contrast in the center of its field-of-view, cycling contrast modes multiple times. At the 22 second mark, the area of contrast loses distinctiveness against the background. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR071","DOW-UAP-PR071, ""USAF ANG F-16C (callsign [CALLSIGN]) Shoots Down UAP over Lake Huron with [Weapon System], 12 Feb 2023""","1007784","DOW-UAP-PR071, ""USAF ANG F-16C (callsign [CALLSIGN]) Shoots Down UAP over Lake Huron with [Weapon System], 12 Feb 2023""","USAF ANG F-16C (callsign [CALLSIGN]) Shoots Down UAP over Lake Huron with [Weapon System], 12 Feb 2023,","February 2023","00:00:46","no","none","At the 11 second mark, the sensor focuses on an area of contrast in the center of its field-of-view. At the 20 second mark, the footage appears to depict a kinetic interaction between two distinct areas of contrast, with the initial subject of the footage fragmenting in a radial displacement pattern that suggests a high-energy event. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature,"
"DOW-UAP-PR072","DOW-UAP-PR072, ""ADMINISTRATIVE REVISION: IIR 1777 J0032 22 Kazakhstan - UAP in the vicinity of Karaganda International Airport""","1007788","DOW-UAP-PR072, ""ADMINISTRATIVE REVISION: IIR 1777 J0032 22 Kazakhstan - UAP in the vicinity of Karaganda International Airport""","ADMINISTRATIVE REVISION: IIR 1777 J0032 22 Kazakhstan - UAP in the vicinity of Karaganda International Airport,","April 2023","00:00:17","yes","none","This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:00-00:03: No Content. 00:04-00:12: The video fades in from black to show a luminous phenomenon with trails of diminishing brightness extending from the center. The camera pans left and right, and zooms in on the phenomenon. 00:13: Video fades to black. 00:14-00:17: No content. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determinat"
"DOW-UAP-PR073","DOW-UAP-PR073, IIR 1 655 S0053 23/Several Unidentified Aerial Phenomenon Encountered In The Vicinity of Columbus OH""","1007790","DOW-UAP-PR073, IIR 1 655 S0053 23/Several Unidentified Aerial Phenomenon Encountered In The Vicinity of Columbus OH""","IIR 1 655 S0053 23/Several Unidentified Aerial Phenomenon Encountered In The Vicinity of Columbus OH,","March 2023","00:01:28","no","none","00:00-00:04: No content. 00:05-00:07: The sensor pans to center a small area of contrast within its field-of-view. 00:11-00:37: The sensor cycles contrast modes and zoom levels while the area of contrast remains generally within the sensor field-of-view. 00:38-00:41: The orientation of the sensor relative to the area of contrast causes the area of contrast to appear to rotate. 00:42-01:14: A second area of contrast enters the frame from near the center of the top of the screen. It transits the sensor field-of-view, before becoming obscured by a redacted visual element of the sensor display. 01"
"DOW-UAP-PR074","DOW-UAP-PR074, ""[CALLSIGN] (Mission)HD_20220613""","1007791","DOW-UAP-PR074, ""[CALLSIGN] (Mission)HD_20220613""","[CALLSIGN] (Mission) HD_20220613,","June 2022","00:04:45","no","none","00:00-00:10: The sensor pans from right to left tracking an area of contrast moving towards the center of the field-of-view, before losing distinctiveness against the background. 00:11-00:14: The sensor zooms in. An area of contrast transits the sensor field-of-view, entering from the right and exiting from the left side of the frame. 00:15-00:43: The sensor zooms out to track an area of contrast. 00:44-00:47: The sensor zooms in. An area of contrast transits the sensor field-of-view, entering from the right and exiting from the left side of the frame. 00:48-01:05: The sensor cycles its zoom s"
"DOW-UAP-PR075","DOW-UAP-PR075, ""09JUN2021 [Platform] observed UAP in the ECS""","1007795","DOW-UAP-PR075, ""09JUN2021 [Platform] observed UAP in the ECS""","09JUN2021 [Platform] observed UAP in the ECS,","June 2021","00:00:23","no","none","00:01-00:18: The sensor pans to track an area of contrast. At the 18 second mark, the sensor loses sight of the object. 00:19-00:23: No content. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR076","DOW-UAP-PR076, ""03 January 2021 [CALLSIGN] (Mission) observes UAP""","1007804","DOW-UAP-PR076, ""03 January 2021 [CALLSIGN] (Mission) observes UAP""","","January 2021","00:04:57","no","none","00:00-01:51: No content. 01:52-02:48: An area of contrast becomes visible near the center of the top half of the frame. The sensor pans to track the area of contrast, keeping it generally within the center of the field-of-view. 02:49-02:55: The sensor zooms in. The area of contrast exits the frame in the bottom left of the display. 02:55-04:57: No content. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described ev"
"DOW-UAP-PR077","DOW-UAP-PR077, ""2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 1 of 2""","1007809","DOW-UAP-PR077, ""2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 1 of 2""","","November 2020","00:04:58","no","none","00:00-03:21: The sensor pans to keep a low area of contrast within the center of the field-of-view. The relative intensity of the area of contrast increases throughout the video. 03:15-03:17: A second area of contrast transits the top right corner of the sensor field-of-view. 03:22-04:58: The sensor pans from the first area of contrast to the second area of contrast and pans to keep it within the field-of-view. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclus"
"DOW-UAP-PR078","DOW-UAP-PR078, ""2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 2 of 2""","1007812","DOW-UAP-PR078, ""2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 2 of 2""","2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 2 of 2,","November 2020","00:04:58","no","none","00:00-03:21: The sensor pans to keep a low area of contrast within the center of the field-of-view. The relative intensity of the area of contrast increases throughout the video. 03:15-03:17: A second area of contrast transits the top right corner of the sensor field-of-view. 03:22-04:58: The sensor pans from the first area of contrast to the second area of contrast and pans to keep it within the field-of-view. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclus"
"DOW-UAP-PR079","DOW-UAP-PR079, ""29 October 2020 [CALLSIGN] (Mission) observes 3 fast moving UAP's""","1007816","DOW-UAP-PR079, ""29 October 2020 [CALLSIGN] (Mission) observes 3 fast moving UAP's","29 October 2020 [CALLSIGN] (Mission) observes 3 fast moving UAPâ€™s,","October 2020","00:04:00","no","none","00:02-00:22: The sensor pans to track an area of contrast. 00:23-00:28: The sensor zooms in. 00:29-01:01: The sensor zooms out, panning to track an area of contrast. 01:02-01:17: A second area of contrast enters the frame from the top left quarter of the screen. Both remain in the frame for approximately 15 seconds. 01:18-1:41: The sensor pans to track the second area of contrast, causing the first to exit the frame at the bottom of the screen. The area of contrast remains generally within the center of the sensor field-of-view. 01:42-1:58: The sensor pans and cycles its zoom level multiple ti"
"DOW-UAP-PR080","DOW-UAP-PR080, ""20 October 2020 [CALLSIGN] [CALLSIGN] Observes UAP""","1007803","DOW-UAP-PR080, ""20 October 2020 [CALLSIGN] [CALLSIGN] Observes UAP","20 October 2020 [CALLSIGN] [CALLSIGN] Observes UAP,","October 2020","00:04:54","no","none","01:17-01:21: An area of contrast enters the sensor field-of-view from the top right of the screen. The sensor pans toward the object, then pans away. 02:45-02:46: An area of contrast transits the sensor field-of-view across the bottom right quarter to the bottom middle edge of the screen. 03:12-03:13: An area of contrast transits the sensor field-of-view from the top right quarter to the bottom left quarter, after which the sensor changes modes and attempts to track the area of contrast. 03:20-03:21: An area of contrast transits the sensor field-of-view from the top right quarter to the bottom"
"DOW-UAP-PR081","DOW-UAP-PR081, ""18 Oct 2020 [CALLSIGN] observes UAP""","1007805","DOW-UAP-PR081, ""18 Oct 2020 [CALLSIGN] observes UAP","18 Oct 2020 [CALLSIGN] observes UAP,","October 2020","00:04:59","no","none","00:00-00:57: No content. 00:58-01:03: An area of contrast transits the sensor field-of-view, entering from near the top left corner of the screen and exiting near the bottom right corner of the screen. 01:04-04:59: No content. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."""
"DOW-UAP-PR082","DOW-UAP-PR082, ""16 OCT 2020 [CALLSIGN] views UAP""","1007807","DOW-UAP-PR082, ""16 OCT 2020 [CALLSIGN] views UAP","16 OCT 2020 [CALLSIGN] views UAP,","October 2020","00:04:46","no","none","00:28-00:29: An area of contrast transits the frame from the middle left side of the frame to the upper right side of the frame. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."""
"DOW-UAP-PR083","DOW-UAP-PR083, ""7 October 2020 [CALLSIGN] observes UAP""","1007808","DOW-UAP-PR083, ""7 October 2020 [CALLSIGN] observes UAP","7 October 2020 [CALLSIGN] observes UAP,","October 2020","00:04:34","no","none","00:09-00:25: An area of contrast enters the right side of the sensor field-of-view. The sensor pans to track the area of contrast, keeping it generally within the center of the frame. 00:26-03:20: The sensor cycles its zoom level multiple times, panning to track the area of contrast. 03:21-04:08: The sensor cycles modalities and zoom levels multiple times to focus on a faint area of contrast. 04:09: The area of contrast loses distinctiveness against the background. 04:10-04:26: No content. 04:27-04:34: An area of contrast appears on the right side of the sensor field-of-view, and the sensor pa"
"DOW-UAP-PR084","DOW-UAP-PR084, ""17 Sept 2020 [CALLSIGN] observes UAP""","1007810","DOW-UAP-PR084, ""17 Sept 2020 [CALLSIGN] observes UAP","17 Sept 2020 [CALLSIGN] observes UAP,","September 2020","00:04:13","no","none","00:00-00:24: No Content. 00:25-00:27: An area of contrast enters from the lower right-hand side of the screen and exits the screen in the upper left. 00:28-04:13 No Content. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."""
"DOW-UAP-PR085","DOW-UAP-PR085, ""16 Sept 2020 [CALLSIGN] [CALLSIGN] observes UAP""","1007796","DOW-UAP-PR085, ""16 Sept 2020 [CALLSIGN] [CALLSIGN] observes UAP","16 Sept 2020 [CALLSIGN] [CALLSIGN] observes UAP,","September 2020","00:04:44","no","none","00:00-01:17: No Content. 01:18-02:24: An area of contrast enters the bottom of the screen and moves up the screen as the sensor pans and zooms to hold it in the center of the frame. 02:25-04:29: The sensor zooms in, with the area of contrast remaining generally within the center of the frame. 04:30-04:44: The area of contrast leaves the field-of-view in the lower left-hand quarter of the screen. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual"
"DOW-UAP-PR086","DOW-UAP-PR086, ""UAP from Dec 2019 (East Coast)""","1007797","DOW-UAP-PR086, ""UAP from Dec 2019 (East Coast)","UAP from Dec 2019 (East Coast),","September 2020","00:00:34","no","none","00:00-00:02: The sensor pans to track an area of contrast. 00:03-00:21: The sensor switches contrast modes while tracking an area of contrast. 00:22-00:23: The sensor pans to track an area of contrast. 00:24-00:34: No content. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."""
"DOW-UAP-PR087","DOW-UAP-PR087, ""05 September 2020 [CALLSIGN] UAP""","1007799","DOW-UAP-PR087, ""05 September 2020 [CALLSIGN] UAP","05 September 2020 [CALLSIGN] UAP,","September 2020","00:04:54","no","none","00:00-01:22: No content. 01:23-01:26: An area of contrast transits the screen, entering from the bottom and exiting the top of the frame. 01:27-02:52: No content. 02:53-02:56: An area of contrast transits the screen, entering from the bottom and exiting the top of the frame. 02:57-04:21: No Content. 04:22-04:26: An area of contrast transits the screen, entering from the bottom and exiting the top of the frame. 04:27-04:54: No content. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgmen"
"DOW-UAP-PR088","DOW-UAP-PR088, ""31 AUG [CALLSIGN] [CALLSIGN] Observes UAP""","1007800","DOW-UAP-PR088, ""31 AUG [CALLSIGN] [CALLSIGN] Observes UAP","31 AUG 2020 [CALLSIGN] [CALLSIGN] Observes UAP,","August 2020","00:04:58","no","none","00:00-01:21: No content. 01:22-01:55: An area of contrast enters the field-of-view in the upper left corner of the screen, transits the frame, and exits the bottom of the screen. 01:56-02:47: The sensor cycles its zoom level several times. An area of contrast becomes visible in the lower half of the screen. 02:48-03:08: Another area of contrast enters the field-of-view from the left side of the screen. 03:09-03:29: The sensor pans to track the second area of contrast. The first area of contrast exits the field-of-view at the left edge of the screen. 03:30-04:58: Several areas of contrast enter"
"DOW-UAP-PR089","DOW-UAP-PR089, ""31 AUG [CALLSIGN] [CALLSIGN] Observes UAP part2""","1007712","DOW-UAP-PR089, ""31 AUG [CALLSIGN] [CALLSIGN] Observes UAP part2""","31 AUG 2020 [CALLSIGN] [CALLSIGN] Observes UAP part2,","August 2020","00:04:58","no","none","00:00-00:45: The sensor tracks an area of contrast near the center of the screen. 00:46-01:09: Another area of contrast enters the field-of-view from the lower right side of the screen. The sensor pans to track both areas, but the second area of contrast exits the field-of-view. 01:10-01:22: The sensor cycles contrast modes, causing the area of contrast to momentarily lose distinctiveness against the background. 01:23-02:35: Several areas of contrast enter and exit the frame. 02:36-02:41: The areas of contrast become indistinct against the background. 02:42-03:22: The areas of contrast become"
