video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,contrast_threshold,local_median_luma,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,component_max_luma,component_min_luma,component_mean_luma,brightness_delta,darkness_delta,distance_from_prediction_px,overlay_relation,nearest_colored_overlay_px,caveat,annotated_frame_path,zoom_patch_path
DOD_111689123.mp4,DOW-UAP-PR45,10,56.0,1680,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,11,58.0,99.0,1003.2,595.1,985.0,584.0,37,23,419,0.492,255,63,217.25,156.0,36.0,16.71,near colored overlay,12.32,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0010_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,11,56.2,1686,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,12,58.0,97.0,961.2,594.3,950.0,588.0,22,14,228,0.74,255,162,218.65,158.0,-65.0,43.18,near colored overlay,7.27,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0011_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,12,56.4,1692,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,13,58.0,99.0,1018.2,599.4,1007.0,582.0,27,31,378,0.452,255,73,210.2,156.0,26.0,11.7,near colored overlay,19.72,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0012_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,13,56.6,1698,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,10,62.0,106.0,1028.5,603.4,1017.0,588.0,26,34,315,0.356,254,45,185.08,148.0,61.0,21.62,near colored overlay,28.77,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0013_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,14,56.8,1704,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,17,63.0,106.0,1036.5,605.9,1030.0,596.0,15,21,181,0.575,255,66,173.26,149.0,40.0,33.66,separate from colored overlay,72.1,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0014_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,15,57.0,1710,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,high,16,63.0,106.0,1014.5,605.2,999.0,597.0,27,20,273,0.506,253,43,132.32,147.0,63.0,62.61,separate from colored overlay,70.54,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0015_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,16,57.2,1716,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,high,16,66.0,106.0,1069.4,632.0,1063.0,620.0,16,23,211,0.573,254,54,162.15,148.0,52.0,35.09,separate from colored overlay,182.27,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0016_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,17,57.4,1722,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,high,18,65.0,106.0,1088.2,656.2,1074.0,647.0,27,24,243,0.375,255,48,152.65,149.0,58.0,26.0,separate from colored overlay,82.11,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0017_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,18,57.6,1728,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,high,12,68.0,106.0,1071.1,657.0,1053.0,646.0,39,30,462,0.395,245,45,132.34,139.0,61.0,43.91,separate from colored overlay,152.77,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0018_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,19,57.8,1734,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,high,15,66.0,106.0,1099.8,687.1,1084.0,678.0,40,27,353,0.327,228,45,94.11,122.0,61.0,22.7,separate from colored overlay,138.92,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0019_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,20,58.0,1740,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,high,13,69.0,106.0,1145.6,739.6,1133.0,721.0,27,31,395,0.472,254,49,178.03,148.0,57.0,31.92,separate from colored overlay,90.42,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0020_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,21,58.2,1746,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,medium,14,63.0,106.0,1239.0,803.0,1225.0,794.0,31,17,339,0.643,255,52,173.99,149.0,54.0,126.51,near colored overlay,7.95,"usable but small, reticle-adjacent, or partly occluded contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0021_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,22,58.4,1752,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,low,8,57.0,105.0,1269.3,798.9,1267.0,789.0,6,22,102,0.773,226,31,129.35,121.0,74.0,134.45,near colored overlay,11.92,post-exit lock-box edge or mostly out-of-frame residual,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0022_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,23,58.6,1758,exit from field of view,DVIDS 00:57-00:58 target leaves center and exits bottom-right,low,6,59.0,102.0,1257.1,794.1,1255.0,787.0,5,16,76,0.95,214,28,125.0,112.0,74.0,113.01,near colored overlay,8.14,post-exit lock-box edge or mostly out-of-frame residual,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0023_patch.jpg

